id,team,player,pos,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
400899380,bkn,trevor-booker,F,24,4-5,0-1,0-0,1,6,7,5,3,0,1,0,+5,8
400899380,bkn,rondae-hollis-jefferson,F,24,1-3,0-1,3-4,0,2,2,0,1,0,1,1,-9,5
400899380,bkn,bojan-bogdanovic,SF,23,9-17,3-8,0-0,2,3,5,0,1,0,2,2,+2,21
400899380,bkn,brook-lopez,C,21,1-7,1-2,4-4,2,3,5,0,0,0,2,1,-10,7
400899380,bkn,jeremy-lin,G,28,6-14,2-5,4-5,1,2,3,3,0,1,2,1,-3,18
400899380,bkn,luis-scola,F,22,3-8,1-5,1-2,0,1,1,3,0,0,2,3,-19,8
400899380,bkn,chris-mccullough,F,4,1-2,0-0,0-0,2,0,2,0,0,0,0,0,+14,2
400899380,bkn,justin-hamilton,C,25,7-12,3-6,2-3,6,4,10,2,0,0,1,4,+0,19
400899380,bkn,greivis-vasquez,PG,18,0-1,0-1,0-0,0,0,0,3,1,0,0,3,-13,0
400899380,bkn,joe-harris,SG,25,6-15,4-9,0-0,0,4,4,3,2,2,3,3,+3,16
400899380,bkn,sean-kilpatrick,G,22,5-13,1-6,2-2,1,3,4,2,0,0,2,0,-7,13
400899380,bkn,isaiah-whitehead,G,4,0-0,0-0,0-0,0,1,1,1,0,0,0,1,+12,0
400899380,bos,amir-johnson,F,20,4-6,0-0,0-1,4,3,7,2,1,0,4,2,+5,8
400899380,bos,jae-crowder,SF,29,9-15,3-8,0-0,0,5,5,2,2,1,2,2,+3,21
400899380,bos,al-horford,C,27,5-8,1-4,0-0,1,4,5,6,0,4,2,2,+13,11
400899380,bos,avery-bradley,PG,34,7-15,3-4,0-0,4,5,9,6,1,0,3,4,+3,17
400899380,bos,isaiah-thomas,PG,33,7-14,2-7,9-9,0,6,6,8,2,0,3,3,+15,25
400899380,bos,jonas-jerebko,F,19,1-8,0-5,2-2,0,1,1,3,4,0,1,1,+2,4
400899380,bos,tyler-zeller,C,16,6-7,0-0,1-2,2,2,4,3,0,2,1,2,-9,13
400899380,bos,terry-rozier,PG,28,2-5,1-2,0-0,0,3,3,3,2,0,1,2,+2,5
400899380,bos,jaylen-brown,SG,19,3-4,0-0,3-4,0,2,2,1,1,2,1,1,+0,9
400899380,bos,gerald-green,G,15,4-7,1-2,0-0,1,4,5,2,0,0,1,1,-9,9
400899422,bos,amir-johnson,F,16,2-4,0-0,1-2,0,1,1,1,0,1,0,3,-11,5
400899422,bos,jae-crowder,SF,35,4-6,1-2,5-5,1,5,6,1,2,0,1,4,-2,14
400899422,bos,al-horford,C,30,4-9,0-2,3-4,0,7,7,5,0,1,1,5,-3,11
400899422,bos,avery-bradley,PG,41,6-12,1-3,3-4,1,5,6,5,0,1,2,2,-10,16
