id,team,player,pos,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
401070213,phi,robert-covington,PF,34,3-10,2-7,0-0,1,5,6,0,2,1,2,1,-11,8
401070213,phi,dario-saric,PF,23,3-8,0-4,0-0,0,6,6,1,0,0,3,5,-4,6
401070213,phi,joel-embiid,C,37,9-21,1-4,4-5,2,8,10,2,1,2,5,3,-8,23
401070213,phi,ben-simmons,PG,43,7-14,0-0,5-10,3,12,15,8,4,2,3,5,-8,19
401070213,phi,markelle-fultz,PG,24,2-7,0-0,1-2,0,3,3,2,1,0,3,1,-16,5
401070213,phi,jonah-bolden,PF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2,0
401070213,phi,amir-johnson,F,11,1-1,0-0,3-4,0,3,3,1,0,0,0,1,-10,5
401070213,phi,tj-mcconnell,PG,22,2-5,0-1,0-0,0,1,1,3,0,0,0,3,-11,4
401070213,phi,jj-redick,SG,30,7-17,2-8,0-0,0,2,2,1,0,0,0,1,-10,16
401070213,phi,landry-shamet,SG,13,0-4,0-2,1-2,0,1,1,0,0,0,0,0,-8,1
401070213,phi,furkan-korkmaz,SG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2,0
401070213,bos,jayson-tatum,PF,29,9-17,1-5,4-5,2,7,9,3,1,0,1,2,+6,23
401070213,bos,gordon-hayward,SF,25,4-12,1-3,1-2,2,3,5,0,4,0,0,1,+10,10
401070213,bos,al-horford,C,30,4-7,0-1,1-1,0,4,4,2,0,4,3,1,+9,9
401070213,bos,kyrie-irving,PG,29,2-14,1-8,2-2,0,4,4,7,0,0,3,1,+9,7
401070213,bos,jaylen-brown,SG,28,5-13,1-3,1-2,3,2,5,2,0,0,2,4,+11,12
401070213,bos,semi-ojeleye,PF,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,+2,0
401070213,bos,marcus-morris-sr,F,21,7-12,2-7,0-0,2,8,10,0,2,0,1,5,+3,16
401070213,bos,guerschon-yabusele,F,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+2,0
401070213,bos,daniel-theis,C,4,0-0,0-0,0-0,0,1,1,0,0,0,0,1,+3,0
401070213,bos,aron-baynes,C,19,3-7,2-4,0-0,3,1,4,3,0,0,1,3,+8,8
401070213,bos,brad-wanamaker,PG,1,1-1,0-0,0-0,0,1,1,0,0,0,0,0,+2,2
401070213,bos,marcus-smart,PG,25,2-4,2-4,1-2,0,3,3,3,0,0,2,2,+3,7
401070213,bos,terry-rozier,PG,27,5-10,1-2,0-0,0,8,8,1,0,1,1,0,+22,11
401070219,bos,jayson-tatum,PF,37,6-16,2-6,2-2,0,9,9,2,1,1,5,5,-14,16
401070219,bos,gordon-hayward,SF,24,6-13,1-3,1-1,2,5,7,2,1,0,1,0,-11,14
401070219,bos,al-horford,C,33,5-12,3-7,1-1,5,5,10,9,1,1,3,3,-10,14
401070219,bos,kyrie-irving,PG,36,10-20,1-3,0-0,2,2,4,6,0,1,1,3,-16,21
401070219,bos,jaylen-brown,SG,24,5-10,3-6,0-2,1,3,4,0,0,0,1,4,+0,13
401070219,bos,marcus-morris-sr,F,26,3-7,2-4,0-0,0,2,2,1,0,1,2,4,-1,8
401070219,bos,aron-baynes,C,15,2-8,0-2,1-2,4,2,6,0,0,1,1,1,-2,5
401070219,bos,marcus-smart,PG,22,1-6,0-2,0-0,0,2,2,6,0,1,0,3,-2,2
401070219,bos,terry-rozier,PG,23,2-7,2-3,2-2,2,3,5,3,1,0,0,4,-4,8
401070219,tor,serge-ibaka,PF,34,10-14,1-2,0-1,4,2,6,2,0,1,1,2,+16,21
401070219,tor,pascal-siakam,PF,18,2-6,0-2,0-0,0,5,5,2,0,0,2,1,+0,4
401070219,tor,kawhi-leonard,SF,36,10-25,2-5,9-9,2,8,10,3,1,0,3,1,+17,31
401070219,tor,kyle-lowry,PG,34,5-8,3-5,2-4,0,6,6,6,0,0,0,3,+18,15
401070219,tor,danny-green,SG,32,5-8,4-7,0-0,1,4,5,3,1,1,1,1,+25,14
401070219,tor,og-anunoby,SF,21,4-6,1-3,0-0,2,2,4,0,0,0,1,4,-1,9
401070219,tor,jonas-valanciunas,C,14,1-3,0-0,2-2,1,4,5,0,0,0,2,4,-4,4
401070219,tor,cj-miles,SG,12,1-6,0-4,0-0,0,0,0,0,0,1,0,1,-8,2
401070219,tor,norman-powell,SG,10,1-5,0-0,0-0,0,2,2,1,1,0,0,1,-5,2
401070219,tor,fred-vanvleet,SG,28,4-11,2-7,1-3,2,4,6,7,0,0,2,1,+2,11
401070711,bos,jayson-tatum,PF,35,8-15,2-3,6-6,1,13,14,0,2,0,4,2,+19,24
