id,team,player,pos,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
401160630,bos,jayson-tatum,PF,37,8-22,4-8,1-3,1,9,10,2,2,0,4,2,-4,21
401160630,bos,gordon-hayward,SF,35,8-15,0-0,9-11,0,5,5,2,0,0,1,4,-11,25
401160630,bos,enes-kanter,C,25,5-8,0-1,2-7,3,3,6,2,0,0,0,3,-12,12
401160630,bos,kemba-walker,PG,34,4-18,1-6,3-4,2,0,2,2,0,0,3,4,-16,12
401160630,bos,jaylen-brown,SG,21,3-6,1-2,1-3,0,7,7,0,1,0,1,5,-12,8
401160630,bos,semi-ojeleye,PF,10,0-1,0-1,0-0,0,1,1,0,0,0,0,0,-1,0
401160630,bos,grant-williams,PF,7,0-1,0-0,0-0,0,1,1,0,0,0,0,2,+0,0
401160630,bos,daniel-theis,C,10,0-1,0-1,3-4,1,0,1,0,0,1,0,1,-7,3
401160630,bos,robert-williams-iii,IC,11,2-4,0-0,1-2,1,2,3,1,1,1,0,4,+7,5
401160630,bos,brad-wanamaker,PG,6,0-2,0-0,0-0,0,0,0,1,0,0,0,0,+0,0
401160630,bos,marcus-smart,PG,33,2-7,0-4,0-0,1,3,4,8,0,0,1,4,-13,4
401160630,bos,carsen-edwards,PG,11,1-5,1-3,0-0,1,0,1,0,0,0,0,0,-1,3
401160630,phi,tobias-harris,SF,38,6-11,2-5,1-2,1,14,15,4,2,0,4,3,+16,15
401160630,phi,al-horford,C,31,5-13,1-6,5-6,1,1,2,3,1,0,1,5,+6,16
401160630,phi,joel-embiid,C,23,5-14,1-4,4-8,4,9,13,3,0,3,0,5,+16,15
401160630,phi,ben-simmons,PG,35,11-16,0-0,2-5,2,6,8,9,0,0,4,4,+15,24
401160630,phi,josh-richardson,SG,33,4-12,0-4,9-9,2,4,6,2,1,2,2,4,+22,17
401160630,phi,mike-scott,PF,16,2-7,0-3,2-2,1,5,6,1,0,0,0,2,+3,6
401160630,phi,james-ennis-iii,SF,17,0-3,0-2,3-4,1,5,6,0,0,0,3,5,-12,3
401160630,phi,kyle-oquinn,C,4,2-2,1-1,0-0,0,1,1,0,0,0,0,0,-2,5
401160630,phi,raul-neto,PG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-1,0
401160630,phi,matisse-thybulle,SG,22,1-5,1-3,0-0,0,1,1,1,2,2,1,5,+5,3
401160630,phi,shake-milton,SG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,-1,0
401160630,phi,furkan-korkmaz,SG,19,1-2,1-1,0-0,0,4,4,0,0,0,0,1,+3,3
401160659,tor,pascal-siakam,PF,36,11-22,5-7,6-6,2,6,8,2,0,0,5,2,-2,33
401160659,tor,og-anunoby,SF,38,4-5,1-2,0-0,1,7,8,0,0,1,2,6,-4,9
401160659,tor,marc-gasol,C,25,0-8,0-4,1-2,1,4,5,5,0,0,3,2,+3,1
401160659,tor,kyle-lowry,PG,40,11-18,6-10,1-1,0,4,4,7,1,1,4,5,-7,29
401160659,tor,fred-vanvleet,SG,42,2-11,2-5,2-2,1,4,5,6,1,1,4,4,-8,8
401160659,tor,serge-ibaka,PF,24,5-5,1-1,2-4,0,8,8,1,0,3,2,3,-10,13
401160659,tor,stanley-johnson,SF,5,1-2,1-2,0-0,0,2,2,0,0,0,1,2,-1,3
401160659,tor,norman-powell,SG,22,2-3,1-2,2-2,0,4,4,1,0,0,2,1,-2,7
401160659,tor,terence-davis,SG,9,1-4,1-3,0-0,0,2,2,0,0,0,0,3,+1,3
401160659,bos,jayson-tatum,PF,35,8-22,4-7,5-5,3,6,9,4,3,0,0,0,+9,25
401160659,bos,gordon-hayward,SF,37,5-12,3-4,2-2,3,5,8,2,0,0,3,2,+9,15
401160659,bos,daniel-theis,C,15,0-7,0-1,1-2,3,3,6,1,0,2,0,3,+3,1
401160659,bos,kemba-walker,PG,36,8-22,2-8,4-4,3,3,6,2,2,2,2,3,+7,22
401160659,bos,jaylen-brown,SG,38,11-20,2-7,1-1,0,9,9,4,0,2,1,2,+2,25
401160659,bos,semi-ojeleye,PF,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,+0,0
401160659,bos,grant-williams,PF,22,2-9,0-3,0-0,6,1,7,4,1,0,1,3,+5,4
